Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.83795113616611,7.99172477170547,7.98038176797268,7.84137246476089,7.56212953503767,7.44447110273865,7.38564671903988,7.44483800312432,7.5160380375719,7.4709109070127,7.34715131821916,7.30809987968472,7.26489854438636,7.06327006574482,6.8784969981739,6.80239422710592,6.74626567855077,6.73679806326994,6.85929443631757,7.27536390445428,7.14930120647393,6.98489436007991,6.90438303627979,6.88450041554073,6.98306405212527,7.15215693722101,7.27429827091257,7.2375625817518,7.42677683180796,7.91029051129784,8.30393895237642,7.74814436697914,7.74000813436174
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7942,7.94,7945,7947,7942,7934,7932,7939,7942,7942,7942,7935,7929,7926,7925,7925,7924,7928,7923,7921,7918,7914,7914,7.91,9002,10092,11.18,11131,11082,11.71,12075,14.1,15378
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32594235231277,4.44591927443973,4.59028710177184,4.62285416980073,4.61133475862421,4.51458149354369,4.47092693388607,4.4821582334481,4.70965317261658,4.76767886576912,4.69261930197615,4.47071610263136,4.37286435174387,4.30641264330599,4.33538437217796,4.21889866548784,4.19595476663819,4.21185397948451,4.2524911462233,4.22575462307302,4.2018548985661,4.15926428541131,3.81621610469801,3.93212535194556,4.19757556455217,4.16412980931709,4.23848207176104,4.26669497383699,4.27748276166884,4.73750086375672,4.58501420176174,3.80907954950306,3.66450029100675
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16668,16857,17.46,17483,16924,15967,15.84,16117,16.43,16562,16597,16317,16.34,16187,16173,15969,15905,16013,16298,16551,16.77,16495,16423,16317,16448,16577,16639,16626,16.5,16698,15.8,14478,14223
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10307,30015,25258,20.84,14611,13931,16876,20047,20.84,19028,18575,17895,16989,16.31,15.97,15.63,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.05,17.19,15.42,13.62,12.3,11.47,12833,12.59,11629,11083
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6738491154699,11.9046486960271,12.6295252651935,12.7500671178108,13.2111204221529,12.222114301674,11.7345282312356,11.7008890539488,11.8602953211907,12.3460923778058,12.2280635677478,12.2477503783721,12.2091494278513,11.2353082915185,11.0601119508797,10.3522880255083,9.96470740409144,9.67790375210591,9.30756334586608,9.38322937772066,10.4776010273128,10.9583555841093,11.0297127683119,11.1202671823228,11.2827612788492,11.0765470573746,11.4538398420315,11.0592488817314,10.6735671418821,11.9750180307292,11.6841761177132,10.7328834167905,10.7582833461383
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,1737,1907,1838,1.8,1841,1914,2071,2195,2.25,2441,2653,2892,2963,3.12,2.96,2917,2795,2887,2756,2544,2256,2.07,1956,1789,1.64,2.46,2.24,2.33,4.29,3.11,2971,2953
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,7583,8085,8.35,9.22,9.84,11.46,8.74,6805,6841
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.8,5.3,6.6,6.7,9.3,10.8,9.4,11.2,11023,10848,10651,10463,10.3,10137,9979,9.81,10126,10512,10851,11.16,11385,11682,11989,12308,12625,12914,13.21,12.2,12.18,10.01,8588,8378
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59,10.73,10.88,9.72,8.47,8.51,8.37,7.68,6.88,6.29,6.75,6.38,5.93,5.4,5.04,4.79,4.38,4.24,5.57,5.21,5.08,5.23,5.66,6.08,6.06,5.71,5.59,5.3,5.16,6.46,5.12,3.7,3618
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,3.59,4.25,3.54,4.35,5.28,5.15,5.52,4.7,4.69,4.01,4.85,4.78,5.97,5.68,5.32,4.91,4.2,5.37,4.88,4.64,4.91,5.37,5.67,5.8,6.06,5.56,4.93,4.56,5.2,6.46,4.99,5268
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.8,4.5,6.3,7.2,8.1,9.1,10,10.9,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,5,7.24,6.04,5.65,5.64
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,3252,3381,3347,3391,3399,3307,3212,3.29,3285,3239,3202,3281,3.19,3244,3.18,2424,1.63,1625,1604,1602,1589,1575,1.57,1517,1383,1263,1143,1027,1.03,1138,906,0.86
